SMILES,nHBDon,ALogP,nRotB,nAtomLC,XLogP,MLogP,nB,LipinskiFailures,AMR,nAtom,nAtomP,ALogp2,naAromAtom,nAromBond,nAtomLAC
InChI%3D1S%2FC7H6N2O4%2Fc1-5-2-3-6%288%2810%2911%294-7%285%299%2812%2913%2Fh2-4H%2C1H3,0.0,0.548799991607666,2.0,2.0,2.68199992179871,1.57000005245209,13.0,0.0,11.273699760437,19.0,12.0,0.301181435585022,6.0,6.0,0.0
InChI%3D1S%2FC7H6BrNO%2Fc8-6-3-1-2-5%284-6%297%289%2910%2Fh1-4H%2C%28H2%2C9%2C10%29,2.0,1.57889997959137,1.0,3.0,1.50800001621246,1.89999997615814,10.0,0.0,45.7462997436523,16.0,9.0,2.49292516708374,6.0,6.0,0.0
InChI%3D1S%2FC8H6ClNO4%2Fc1-14-8%2811%296-3-2-5%289%294-7%286%2910%2812%2913%2Fh2-4H%2C1H3,0.0,0.341699987649918,3.0,4.0,0.975000023841858,1.67999994754791,14.0,0.0,39.2047996520996,20.0,12.0,0.116758890450001,6.0,6.0,0.0
InChI%3D1S%2FC10H24N4%2Fc11-3-1-5-13-7-9-14%2810-8-13%296-2-4-12%2Fh1-12H2,2.0,-1.95659995079041,6.0,4.0,-1.12999999523163,2.11999988555908,14.0,0.0,57.7610015869141,38.0,0.0,3.8282835483551,0.0,0.0,3.0
InChI%3D1S%2FC10H18O4%2Fc1-3-13-9%2811%297-5-6-8-10%2812%2914-4-2%2Fh3-8H2%2C1-2H3,0.0,0.0167999994009733,9.0,14.0,1.49399995803833,2.11999988555908,13.0,0.0,47.4860000610352,32.0,3.0,0.000282240012893453,0.0,0.0,6.0
InChI%3D1S%2FC6H4Cl2O%2Fc7-4-1-2-6%289%295%288%293-4%2Fh1-3%2C9H,1.0,1.57770001888275,0.0,0.0,1.88900005817413,1.78999996185303,9.0,0.0,41.9936981201172,13.0,7.0,2.48913717269897,6.0,6.0,0.0
InChI%3D1S%2FC7H12O%2Fc8-7-4-5-1-2-6%287%293-5%2Fh5-8H%2C1-4H2%2Ft5-%2C6%2B%2C7%2B%2Fm0%2Fs1,1.0,-0.293700009584427,0.0,0.0,1.22500002384186,2.11999988555908,9.0,0.0,29.7889003753662,20.0,0.0,0.0862596929073334,0.0,0.0,0.0
InChI%3D1S%2FC8H19NO%2Fc1-7%282%299%285-6-10%298%283%294%2Fh7-8%2C10H%2C5-6H2%2C1-4H3,1.0,-0.319499999284744,4.0,10.0,1.12000000476837,2.11999988555908,9.0,0.0,45.2775993347168,29.0,0.0,0.102080248296261,0.0,0.0,3.0
InChI%3D1S%2FC17H13N%2Fc1-3-8-14%289-4-1%2916-12-7-13-17%2818-16%2915-10-5-2-6-11-15%2Fh1-13H,0.0,2.69210004806519,2.0,0.0,2.77099990844727,3.22000002861023,20.0,0.0,85.9643020629883,31.0,18.0,7.24740219116211,18.0,18.0,0.0
InChI%3D1S%2FC8H19O3PS2%2Fc1-4-10-12%289%2C11-5-2%2914-8-7-13-6-3%2Fh4-8H2%2C1-3H3,0.0,2.1314001083374,9.0,14.0,2.21600008010864,1.67999994754791,13.0,0.0,64.6414031982422,33.0,4.0,4.54286575317383,0.0,0.0,2.0
InChI%3D1S%2FC5H13N%2Fc1-4%282%295%283%296%2Fh4-5H%2C6H2%2C1-3H3,1.0,-0.176100000739098,1.0,6.0,0.972000002861023,1.89999997615814,5.0,0.0,27.7865009307861,19.0,0.0,0.0310112107545137,0.0,0.0,4.0
InChI%3D1S%2FC16H22O4%2Fc1-3-5-11-19-15%2817%2913-9-7-8-10-14%2813%2916%2818%2920-12-6-4-2%2Fh7-10H%2C3-6%2C11-12H2%2C1-2H3,0.0,-0.196199998259544,10.0,7.0,3.64599990844727,2.77999997138977,20.0,0.0,73.9672012329102,42.0,12.0,0.0384944416582584,6.0,6.0,4.0
InChI%3D1S%2FC9H12%2Fc1-8%282%299-6-4-3-5-7-9%2Fh3-8H%2C1-2H3,0.0,1.78069996833801,1.0,3.0,3.44199991226196,2.45000004768372,9.0,0.0,44.0035018920898,21.0,6.0,3.17089247703552,6.0,6.0,3.0
InChI%3D1S%2FC6HCl5O%2Fc7-1-2%288%294%2810%296%2812%295%2811%293%281%299%2Fh12H,1.0,2.68379998207092,0.0,0.0,3.61999988555908,1.46000003814697,12.0,0.0,56.1422996520996,13.0,7.0,7.20278263092041,6.0,6.0,0.0
InChI%3D1S%2FC5H12ClN.ClH%2Fc1-7%282%295-3-4-6%3B%2Fh3-5H2%2C1-2H3%3B1H,0.0,0.697300016880035,3.0,7.0,1.69799995422363,1.67999994754791,6.0,0.0,32.2430000305176,21.0,0.0,0.486227303743362,0.0,0.0,3.0
InChI%3D1S%2FC10H9NO6%2Fc1-16-9%2812%296-3-4-7%2810%2813%2917-2%298%285-6%2911%2814%2915%2Fh3-5H%2C1-2H3,0.0,-0.0241999998688698,5.0,4.0,1.79900002479553,1.78999996185303,17.0,0.0,26.8626003265381,26.0,15.0,0.000585640023928136,6.0,6.0,0.0
InChI%3D1S%2FC5H4BrNO%2Fc6-5-4%288%292-1-3-7-5%2Fh1-3%2C8H,1.0,0.835500001907349,0.0,0.0,1.0,1.67999994754791,8.0,0.0,36.4945983886719,12.0,7.0,0.698060274124146,6.0,6.0,0.0
InChI%3D1S%2FC4H8O%2Fc1-2-3-4-5%2Fh4H%2C2-3H2%2C1H3,0.0,-0.394300013780594,2.0,5.0,1.15600001811981,1.78999996185303,4.0,0.0,19.6534004211426,13.0,1.0,0.155472487211227,0.0,0.0,4.0
InChI%3D1S%2FC7H4ClNS2%2Fc8-4-1-2-6-5%283-4%299-7%2810%2911-6%2Fh1-3H%2C%28H%2C9%2C10%29,1.0,2.27810001373291,0.0,0.0,1.77900004386902,1.78999996185303,12.0,0.0,57.5004005432129,17.0,7.0,5.18973970413208,6.0,6.0,0.0
InChI%3D1S%2FC6H3Cl4N%2Fc7-2-1-3%288%295%2810%296%2811%294%282%299%2Fh1H%2C11H2,1.0,1.68149995803833,0.0,0.0,2.63199996948242,1.57000005245209,11.0,0.0,53.3703994750977,14.0,7.0,2.82744216918945,6.0,6.0,0.0
InChI%3D1S%2FC10H6N2O5.Na.2H2O%2Fc13-10-7-4-2-1-3-6%287%298%2811%2814%2915%295-9%2810%2912%2816%2917%3B%3B%3B%2Fh1-5%2C13H%3B%3B2%2A1H2%2Fq%3B%2B1%3B%3B%2Fp-1,2.0,,2.0,3.0,,1.46000003814697,18.0,,,29.0,17.0,,10.0,11.0,0.0
InChI%3D1S%2FC10H17N%2Fc11-10-4-7-1-8%285-10%293-9%282-7%296-10%2Fh7-9H%2C1-6%2C11H2,1.0,-1.5786999464035,0.0,0.0,2.31200003623962,2.45000004768372,13.0,0.0,44.1259002685547,28.0,0.0,2.4922935962677,0.0,0.0,0.0
InChI%3D1S%2FC20H30O2%2Fc1-13%282%2914-6-8-16-15%2812-14%297-9-17-19%2816%2C3%2910-5-11-20%2817%2C4%2918%2821%2922%2Fh7%2C12-13%2C16-17H%2C5-6%2C8-11H2%2C1-4H3%2C%28H%2C21%2C22%29%2Ft16-%2C17%2B%2C19%2B%2C20%2B%2Fm0%2Fs1,1.0,1.37730002403259,2.0,3.0,6.11299991607666,3.44000005722046,24.0,1.0,90.3136978149414,52.0,4.0,1.89695525169373,0.0,0.0,3.0
InChI%3D1S%2FC15H12O%2Fc1-2-15%2816%2C13-9-5-3-6-10-13%2914-11-7-4-8-12-14%2Fh1%2C3-12%2C16H,1.0,2.43530011177063,2.0,4.0,2.07500004768372,3.0,17.0,0.0,72.1032028198242,28.0,6.0,5.93068599700928,12.0,12.0,3.0
InChI%3D1S%2FC5H4ClNO%2Fc6-4-2-1-3-5%288%297-4%2Fh1-3H%2C%28H%2C7%2C8%29,1.0,1.2422000169754,0.0,0.0,0.824000000953674,1.67999994754791,8.0,0.0,33.2155990600586,12.0,7.0,1.54306089878082,6.0,6.0,0.0
InChI%3D1S%2FC12H21N2O3PS%2Fc1-6-15-18%2819%2C16-7-2%2917-11-8-10%285%2913-12%2814-11%299%283%294%2Fh8-9H%2C6-7H2%2C1-5H3,0.0,2.0171000957489,7.0,9.0,3.07500004768372,2.00999999046326,19.0,0.0,81.5680999755859,40.0,11.0,4.06869220733643,6.0,6.0,2.0
InChI%3D1S%2FC8H10%2Fc1-7-3-5-8%282%296-4-7%2Fh3-6H%2C1-2H3,0.0,2.29620003700256,0.0,0.0,2.8659999370575,2.33999991416931,8.0,0.0,39.5197982788086,18.0,6.0,5.27253437042236,6.0,6.0,0.0
InChI%3D1S%2FC6H5NO%2Fc8-5-6-2-1-3-7-4-6%2Fh1-5H,0.0,-0.669399976730347,1.0,2.0,-0.426999986171722,1.89999997615814,8.0,0.0,32.4600982666016,13.0,8.0,0.448096364736557,6.0,6.0,0.0
InChI%3D1S%2FC8H19N%2Fc1-3-4-5-6-7-8%282%299%2Fh8H%2C3-7%2C9H2%2C1-2H3,1.0,-2.13770008087158,5.0,9.0,2.95099997520447,2.23000001907349,8.0,0.0,33.975399017334,28.0,0.0,4.56976127624512,0.0,0.0,8.0
InChI%3D1S%2FC20H30O2%2Fc1-13%282%2914-6-8-16-15%2812-14%297-9-17-19%2816%2C3%2910-5-11-20%2817%2C4%2918%2821%2922%2Fh12%2C16-17H%2C5-11H2%2C1-4H3%2C%28H%2C21%2C22%29%2Ft16-%2C17%2B%2C19%2B%2C20%2B%2Fm0%2Fs1,1.0,2.14840006828308,1.0,3.0,5.77600002288818,3.44000005722046,24.0,1.0,90.2817993164062,52.0,4.0,4.61562252044678,0.0,0.0,3.0
InChI%3D1S%2FC10H18O2%2Fc1-2-3-4-5-6-9-7-8-10%2811%2912-9%2Fh9H%2C2-8H2%2C1H3,0.0,-1.78340005874634,5.0,6.0,3.31299996376038,2.33999991416931,12.0,0.0,37.6071014404297,30.0,3.0,3.18051552772522,0.0,0.0,6.0
InChI%3D1S%2FC12H16%2Fc1-5-10-6-8-11%289-7-10%2912%282%2C3%294%2Fh5-9H%2C1H2%2C2-4H3,0.0,3.27589988708496,2.0,3.0,4.70900011062622,2.77999997138977,12.0,0.0,57.7896003723145,28.0,8.0,10.731520652771,6.0,6.0,2.0
InChI%3D1S%2FC11H15NO%2Fc1-3-12%284-2%2911-7-5-10%289-13%296-8-11%2Fh5-9H%2C3-4H2%2C1-2H3,0.0,1.28719997406006,4.0,5.0,1.80999994277954,2.45000004768372,13.0,0.0,58.2363014221191,28.0,9.0,1.65688383579254,6.0,6.0,2.0
InChI%3D1S%2FC7H3Br2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,1.0,1.58480000495911,0.0,2.0,1.88199996948242,1.78999996185303,11.0,0.0,52.6082000732422,14.0,9.0,2.5115909576416,6.0,6.0,0.0
InChI%3D1S%2FC7H8O2%2Fc1-9-7-4-2-3-6%288%295-7%2Fh2-5%2C8H%2C1H3,1.0,0.341699987649918,1.0,2.0,0.975000023841858,2.00999999046326,9.0,0.0,39.2047996520996,17.0,8.0,0.116758890450001,6.0,6.0,0.0
InChI%3D1S%2FC10H10N2O2S%2Fc1-9-2-4-10%285-3-9%2915%2813%2C14%2912-7-6-11-8-12%2Fh2-8H%2C1H3,1.0,0.0747999995946884,2.0,2.0,0.861000001430511,2.00999999046326,16.0,0.0,62.6654014587402,29.0,10.0,0.00559504004195333,6.0,6.0,0.0
InChI%3D1S%2FC18H15OP%2Fc19-20%2816-10-4-1-5-11-16%2C17-12-6-2-7-13-17%2918-14-8-3-9-15-18%2Fh1-15H,0.0,1.91059994697571,3.0,2.0,1.97699999809265,3.22000002861023,22.0,0.0,97.8239974975586,35.0,20.0,3.65039229393005,18.0,18.0,0.0
InChI%3D1S%2FC5H6ClN3%2Fc1-3-2-4%286%299-5%287%298-3%2Fh2H%2C1H3%2C%28H2%2C7%2C8%2C9%29,3.0,-0.0907000005245209,0.0,0.0,1.33200001716614,1.57000005245209,9.0,0.0,32.6875991821289,19.0,4.0,0.00822648964822292,0.0,0.0,0.0
InChI%3D1S%2FC10H15NO2%2Fc12-8-6-11%287-9-13%2910-4-2-1-3-5-10%2Fh1-5%2C12-13H%2C6-9H2,2.0,0.095600001513958,5.0,7.0,0.14300000667572,2.23000001907349,13.0,0.0,57.1595001220703,28.0,7.0,0.00913935992866755,6.0,6.0,2.0
InChI%3D1S%2FC8H12O%2Fc1-2-8%289%296-4-3-5-7-8%2Fh1%2C9H%2C3-7H2,1.0,-0.333099991083145,0.0,2.0,1.35000002384186,2.23000001907349,9.0,0.0,30.2702007293701,21.0,2.0,0.110955610871315,0.0,0.0,2.0
InChI%3D1S%2FC11H16N2%2Fc1-2-4-11%285-3-1%2910-13-8-6-12-7-9-13%2Fh1-5%2C12H%2C6-10H2,1.0,0.85860002040863,2.0,0.0,0.559000015258789,2.45000004768372,14.0,0.0,59.494701385498,29.0,6.0,0.737193942070007,6.0,6.0,0.0
InChI%3D1S%2FC6H4N2O5%2Fc9-6-4%287%2810%2911%292-1-3-5%286%298%2812%2913%2Fh1-3%2C9H,1.0,1.02699995040894,2.0,2.0,0.903999984264374,1.35000002384186,13.0,0.0,45.1990013122559,17.0,13.0,1.05472898483276,6.0,6.0,0.0
InChI%3D1S%2FC7H8ClN%2Fc1-5-2-3-7%289%296%288%294-5%2Fh2-4H%2C9H2%2C1H3,1.0,1.02180004119873,0.0,0.0,1.29299998283386,2.00999999046326,9.0,0.0,43.5037994384766,17.0,7.0,1.04407525062561,6.0,6.0,0.0
InChI%3D1S%2FC3H4O%2Fc1-2-3-4%2Fh2-3H%2C1H2,0.0,0.408399999141693,1.0,4.0,0.293000012636185,1.67999994754791,3.0,0.0,16.3659992218018,8.0,4.0,0.166790559887886,0.0,0.0,3.0
InChI%3D1S%2FC6H5NO3%2Fc8-6-3-1-5%282-4-6%297%289%2910%2Fh1-4%2C8H,1.0,-0.506900012493134,1.0,2.0,1.72000002861023,1.67999994754791,10.0,0.0,5.45039987564087,15.0,10.0,0.256947606801987,6.0,6.0,0.0
InChI%3D1S%2FC15H10O2%2Fc16-13-10-15%2811-6-2-1-3-7-11%2917-14-9-5-4-8-12%2813%2914%2Fh1-10H,0.0,1.5353000164032,1.0,0.0,1.87699997425079,2.89000010490417,19.0,0.0,73.7113037109375,29.0,9.0,2.35714602470398,12.0,12.0,0.0
InChI%3D1S%2FC10H18O%2Fc1-9%282%298-4-6-10%283%2C11-9%297-5-8%2Fh8H%2C4-7H2%2C1-3H3,0.0,1.31089997291565,0.0,0.0,2.59500002861023,2.45000004768372,12.0,0.0,44.032600402832,29.0,0.0,1.71845877170563,0.0,0.0,0.0
InChI%3D1S%2FC6H6ClN%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4H%2C8H2,1.0,0.575399994850159,0.0,0.0,0.901000022888184,1.89999997615814,8.0,0.0,39.2218017578125,14.0,7.0,0.33108514547348,6.0,6.0,0.0
InChI%3D1S%2F2C9H13N.H2O4S%2Fc2%2A1-8%2810%297-9-5-3-2-4-6-9%3B1-5%282%2C3%294%2Fh2%2A2-6%2C8H%2C7%2C10H2%2C1H3%3B%28H2%2C1%2C2%2C3%2C4%29,4.0,-2.03099989891052,4.0,5.0,5.40000009536743,2.67000007629395,24.0,1.0,49.9654006958008,53.0,6.0,4.12496089935303,12.0,12.0,3.0
InChI%3D1S%2FC7H12O%2Fc1-3-5-6-7%288%294-2%2Fh2%2C7-8H%2C3%2C5-6H2%2C1H3,1.0,-0.558499991893768,3.0,8.0,1.79100000858307,2.11999988555908,7.0,0.0,28.360200881958,20.0,2.0,0.311922252178192,0.0,0.0,7.0
InChI%3D1S%2FC6H7N%2Fc1-6-4-2-3-5-7-6%2Fh2-5H%2C1H3,0.0,-0.342900007963181,0.0,0.0,0.140000000596046,2.00999999046326,7.0,0.0,31.8628005981445,14.0,6.0,0.117580406367779,6.0,6.0,0.0
InChI%3D1S%2FC6H10O%2Fc1-3-5-6%287%294-2%2Fh3-4%2C6-7H%2C1-2%2C5H2,1.0,1.15989995002747,3.0,7.0,1.20299994945526,2.00999999046326,6.0,0.0,30.7087001800537,17.0,2.0,1.34536802768707,0.0,0.0,6.0
InChI%3D1S%2FC10H20O%2Fc1-7%282%299-5-4-8%283%296-10%289%2911%2Fh7-11H%2C4-6H2%2C1-3H3%2Ft8-%2C9%2B%2C10-%2Fm1%2Fs1,1.0,0.656300008296967,1.0,3.0,3.21099996566772,2.45000004768372,11.0,0.0,44.9238014221191,31.0,0.0,0.430729687213898,0.0,0.0,3.0
InChI%3D1S%2FC13H11NO2%2Fc15-12-9-5-4-8-11%2812%2913%2816%2914-10-6-2-1-3-7-10%2Fh1-9%2C15H%2C%28H%2C14%2C16%29,2.0,1.519700050354,2.0,3.0,1.89600002765656,2.55999994277954,17.0,0.0,70.1010971069336,27.0,16.0,2.30948805809021,12.0,12.0,0.0
InChI%3D1S%2FC12H9NO%2Fc14-12%2810-4-2-1-3-5-10%2911-6-8-13-9-7-11%2Fh1-9H,0.0,0.467000007629395,2.0,2.0,0.776000022888184,2.55999994277954,15.0,0.0,61.2478981018066,23.0,14.0,0.218088999390602,12.0,12.0,0.0
InChI%3D1S%2FC7H7NO2%2Fc1-6-3-2-4-7%285-6%298%289%2910%2Fh2-5H%2C1H3,0.0,0.595399975776672,1.0,2.0,3.21700000762939,1.89999997615814,10.0,0.0,8.38790035247803,17.0,9.0,0.354501157999039,6.0,6.0,0.0
InChI%3D1S%2FC4H5N%2Fc1-2-4-5-3-1%2Fh1-5H,1.0,0.591600000858307,3.0,7.0,0.570999979972839,1.57000005245209,6.0,0.0,28.6380996704102,17.0,3.0,0.349990546703339,0.0,0.0,2.0
InChI%3D1S%2FC7H5ClN2%2Fc8-6-1-2-7%2810%295%283-6%294-9%2Fh1-3H%2C10H2,1.0,0.414499998092651,0.0,2.0,0.541999995708466,1.89999997615814,10.0,0.0,44.2002983093262,15.0,9.0,0.171810254454613,6.0,6.0,0.0
InChI%3D1S%2FC6H12O2%2Fc1-5%287%298-6%282%2C3%294%2Fh1-4H3,0.0,0.952400028705597,2.0,8.0,1.54100000858307,1.89999997615814,7.0,0.0,31.2166004180908,20.0,3.0,0.907065749168396,0.0,0.0,2.0
InChI%3D1S%2FC12H8O%2Fc1-3-7-11-9%285-1%2910-6-2-4-8-12%2810%2913-11%2Fh1-8H,0.0,1.36790001392365,0.0,0.0,1.91700005531311,2.67000007629395,15.0,0.0,59.7458992004395,21.0,13.0,1.87115037441254,13.0,15.0,0.0
InChI%3D1S%2FC13H20O%2Fc1-10-6-5-9-13%283%2C4%2912%2810%298-7-11%282%2914%2Fh7-8H%2C5-6%2C9H2%2C1-4H3,0.0,1.57679998874664,2.0,5.0,3.65000009536743,2.77999997138977,14.0,0.0,60.6614990234375,34.0,6.0,2.48629832267761,0.0,0.0,4.0
InChI%3D1S%2FC18H15O4P%2Fc19-23%2820-16-10-4-1-5-11-16%2C21-17-12-6-2-7-13-17%2922-18-14-8-3-9-15-18%2Fh1-15H,0.0,2.77110004425049,6.0,5.0,3.05100011825562,2.89000010490417,25.0,0.0,101.859199523926,38.0,23.0,7.67899513244629,18.0,18.0,0.0
InChI%3D1S%2FC11H15NO%2Fc1-11%282%2C3%299-6-4-8%285-7-9%2910%2812%2913%2Fh4-7H%2C1-3H3%2C%28H2%2C12%2C13%29,1.0,1.93359994888306,2.0,4.0,2.02600002288818,2.45000004768372,13.0,0.0,55.0839004516602,28.0,9.0,3.73880887031555,6.0,6.0,3.0
InChI%3D1S%2FC10H22O%2Fc1-2-3-4-5-6-7-8-9-10-11%2Fh11H%2C2-10H2%2C1H3,1.0,-2.7014000415802,8.0,11.0,4.2649998664856,2.45000004768372,10.0,0.0,36.4682998657227,33.0,0.0,7.29756212234497,0.0,0.0,10.0
InChI%3D1S%2FC9H12O2%2Fc1-7-8%2810-2%295-4-6-9%287%2911-3%2Fh4-6H%2C1-3H3,0.0,0.85259997844696,2.0,2.0,1.47699999809265,2.23000001907349,11.0,0.0,48.5247993469238,23.0,8.0,0.726926743984222,6.0,6.0,0.0
InChI%3D1S%2FC14H20O3%2Fc1-3-4-5-6-9-17-13-8-7-12%2811-15%2910-14%2813%2916-2%2Fh7-8%2C10-11H%2C3-6%2C9H2%2C1-2H3,0.0,-1.17320001125336,8.0,7.0,3.39800000190735,2.67000007629395,17.0,0.0,65.877197265625,37.0,10.0,1.37639820575714,6.0,6.0,6.0
InChI%3D1S%2FC2H3Cl3O%2Fc3-2%284%2C5%291-6%2Fh6H%2C1H2,1.0,1.23950004577637,1.0,6.0,1.33700001239777,1.24000000953674,5.0,0.0,28.215799331665,9.0,0.0,1.53636026382446,0.0,0.0,2.0
InChI%3D1S%2FN3.Na%2Fc1-3-2%3B%2Fq-1%3B%2B1,1.0,,0.0,3.0,-1.67900002002716,1.01999998092651,2.0,0.0,,6.0,3.0,,0.0,0.0,0.0
InChI%3D1S%2FC7H6N2O5%2Fc1-4-2-5%288%2811%2912%293-6%287%284%2910%299%2813%2914%2Fh2-3%2C10H%2C1H3,1.0,0.0885000005364418,2.0,2.0,2.57699990272522,1.46000003814697,14.0,0.0,13.8382997512817,20.0,13.0,0.0078322496265173,6.0,6.0,0.0
InChI%3D1S%2FC6H11NO%2Fc8-7-6-4-2-1-3-5-6%2Fh8H%2C1-5H2,1.0,-1.01629996299744,0.0,2.0,1.16299998760223,1.89999997615814,8.0,0.0,26.7140998840332,19.0,3.0,1.03286564350128,0.0,0.0,0.0
InChI%3D1S%2FC8H19N%2Fc1-2-3-4-5-6-7-8-9%2Fh2-9H2%2C1H3,1.0,-2.41499996185303,6.0,9.0,3.05999994277954,2.23000001907349,8.0,0.0,32.3026008605957,28.0,0.0,5.83222484588623,0.0,0.0,8.0
InChI%3D1S%2FC7H8%2Fc1-7-5-3-2-4-6-7%2Fh2-6H%2C1H3,0.0,1.84979999065399,0.0,0.0,2.47399997711182,2.23000001907349,7.0,0.0,35.2378005981445,15.0,6.0,3.42176008224487,6.0,6.0,0.0
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-3-2-4-8%2811%295-7%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,2.0,0.321799993515015,1.0,4.0,0.61599999666214,2.00999999046326,11.0,0.0,45.7897987365723,20.0,10.0,0.103555239737034,6.0,6.0,2.0
InChI%3D1S%2FC2H3Cl3%2Fc3-1-2%284%295%2Fh2H%2C1H2,0.0,1.95550000667572,1.0,5.0,2.15799999237061,1.35000002384186,4.0,0.0,25.7096996307373,8.0,0.0,3.8239803314209,0.0,0.0,2.0
InChI%3D1S%2FC9H13N%2Fc1-2-10-8-9-6-4-3-5-7-9%2Fh3-7%2C10H%2C2%2C8H2%2C1H3,1.0,1.15170001983643,3.0,4.0,1.33899998664856,2.33999991416931,10.0,0.0,47.7383995056152,23.0,6.0,1.32641291618347,6.0,6.0,2.0
InChI%3D1S%2FC10H22O%2Fc1-3-5-7-9-11-10-8-6-4-2%2Fh3-10H2%2C1-2H3,0.0,-1.75629997253418,8.0,11.0,3.85800004005432,2.45000004768372,10.0,0.0,40.3105010986328,33.0,0.0,3.08458971977234,0.0,0.0,5.0
InChI%3D1S%2FC4H6O%2Fc1-2-3-4-5%2Fh5H%2C4H2%2C1H3,1.0,0.783699989318848,0.0,5.0,0.368000000715256,1.78999996185303,4.0,0.0,21.3423004150391,11.0,2.0,0.614185690879822,0.0,0.0,4.0
InChI%3D1S%2FC12H11NO2%2Fc1-13-12%2814%2915-11-8-4-6-9-5-2-3-7-10%289%2911%2Fh2-8H%2C1H3%2C%28H%2C13%2C14%29,1.0,1.73619997501373,2.0,5.0,2.29200005531311,2.45000004768372,16.0,0.0,63.7247009277344,26.0,14.0,3.01439046859741,10.0,11.0,0.0
InChI%3D1S%2FC11H22O%2Fc1-3-4-5-6-7-8-9-10-11%282%2912%2Fh3-10H2%2C1-2H3,0.0,-2.18379998207092,8.0,12.0,4.4210000038147,2.55999994277954,11.0,0.0,41.5994987487793,34.0,1.0,4.76898241043091,0.0,0.0,11.0
InChI%3D1S%2FC6H5Cl%2Fc7-6-4-2-1-3-5-6%2Fh1-5H,0.0,1.77209997177124,0.0,0.0,1.60399997234344,2.00999999046326,7.0,0.0,35.6720008850098,12.0,6.0,3.14033842086792,6.0,6.0,0.0
InChI%3D1S%2FC4H6O%2Fc1-3-4%282%295%2Fh1%2C4-5H%2C2H3,1.0,0.305500000715256,0.0,5.0,0.294999986886978,1.78999996185303,4.0,0.0,19.6254005432129,11.0,2.0,0.0933302491903305,0.0,0.0,4.0
InChI%3D1S%2FC6H5ClO%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4%2C8H,1.0,1.20899999141693,0.0,0.0,1.31200003623962,1.89999997615814,8.0,0.0,37.2775001525879,13.0,7.0,1.46168100833893,6.0,6.0,0.0
InChI%3D1S%2FC10H11BrO3%2Fc1-13-7-3-4-10%2814-2%298%285-7%299%2812%296-11%2Fh3-5H%2C6H2%2C1-2H3,0.0,0.633800029754639,4.0,4.0,1.66600000858307,2.11999988555908,14.0,0.0,61.5298004150391,25.0,10.0,0.401702433824539,6.0,6.0,2.0
InChI%3D1S%2FC6H4N2O5%2Fc9-6-2-1-4%287%2810%2911%293-5%286%298%2812%2913%2Fh1-3%2C9H,1.0,1.29390001296997,2.0,2.0,1.12300002574921,1.35000002384186,13.0,0.0,40.8736000061035,17.0,13.0,1.6741771697998,6.0,6.0,0.0
InChI%3D1S%2FC6H4Cl3N%2Fc7-3-1-2-4%2810%296%289%295%283%298%2Fh1-2H%2C10H2,1.0,1.3128000497818,0.0,0.0,2.0550000667572,1.67999994754791,10.0,0.0,48.6542015075684,14.0,7.0,1.72344386577606,6.0,6.0,0.0
InChI%3D1S%2FC7H9NO%2Fc1-6%289%297-4-3-5-8%287%292%2Fh3-5H%2C1-2H3,0.0,-2.74580001831055,1.0,3.0,0.787999987602234,2.00999999046326,9.0,0.0,34.2309989929199,19.0,6.0,7.53941774368286,0.0,0.0,2.0
InChI%3D1S%2FC11H17O4PS2%2Fc1-4-13-16%2817%2C14-5-2%2915-10-6-8-11%289-7-10%2918%283%2912%2Fh6-9H%2C4-5H2%2C1-3H3,0.0,1.59669995307922,7.0,9.0,1.81099998950958,1.89999997615814,18.0,0.0,83.4536972045898,35.0,13.0,2.54945087432861,6.0,6.0,2.0
InChI%3D1S%2FC5H8N4%2Fc1-3-4%282%298-9-5%286%297-3%2Fh1-2H3%2C%28H2%2C6%2C7%2C9%29,4.0,-0.888100028038025,0.0,0.0,1.12999999523163,1.57000005245209,9.0,0.0,33.0928993225098,21.0,5.0,0.78872162103653,0.0,0.0,0.0
InChI%3D1S%2FC5H5BrN2%2Fc6-4-1-2-5%287%298-3-4%2Fh1-3H%2C%28H2%2C7%2C8%29,2.0,0.120200000703335,0.0,0.0,1.33299994468689,1.67999994754791,8.0,0.0,32.8685989379883,17.0,3.0,0.0144480401650071,0.0,0.0,0.0
InChI%3D1S%2FC9H20O%2Fc1-2-3-4-5-6-7-8-9-10%2Fh10H%2C2-9H2%2C1H3,1.0,-2.41339993476868,7.0,10.0,3.69600009918213,2.33999991416931,9.0,0.0,33.5567016601562,30.0,0.0,5.82449960708618,0.0,0.0,9.0
InChI%3D1S%2FC7H15NO%2Fc1-6%287%282%299%295-8%283%294%2Fh6H%2C5H2%2C1-4H3,0.0,0.270300000905991,3.0,9.0,0.160999998450279,2.00999999046326,8.0,0.0,39.128101348877,24.0,1.0,0.0730620920658112,0.0,0.0,4.0
