SMILES,nAtom,AMR,nAtomLAC,ALogp2,naAromAtom,nAromBond,nAtomLC,ALogP,nAtomP,nRotB,MLogP,nB,XLogP
InChI%3D1S%2FC6H4Cl2O%2Fc7-4-1-2-6%289%295%288%293-4%2Fh1-3%2C9H,13.0,41.9936981201172,0.0,2.48913717269897,6.0,6.0,0.0,1.57770001888275,7.0,0.0,1.78999996185303,9.0,1.88900005817413
InChI%3D1S%2FC7H12O%2Fc8-7-4-5-1-2-6%287%293-5%2Fh5-8H%2C1-4H2%2Ft5-%2C6%2B%2C7%2B%2Fm0%2Fs1,20.0,29.7889003753662,0.0,0.0862596929073334,0.0,0.0,0.0,-0.293700009584427,0.0,0.0,2.11999988555908,9.0,1.22500002384186
InChI%3D1S%2FC8H19NO%2Fc1-7%282%299%285-6-10%298%283%294%2Fh7-8%2C10H%2C5-6H2%2C1-4H3,29.0,45.2775993347168,3.0,0.102080248296261,0.0,0.0,10.0,-0.319499999284744,0.0,4.0,2.11999988555908,9.0,1.12000000476837
InChI%3D1S%2FC17H13N%2Fc1-3-8-14%289-4-1%2916-12-7-13-17%2818-16%2915-10-5-2-6-11-15%2Fh1-13H,31.0,85.9643020629883,0.0,7.24740219116211,18.0,18.0,0.0,2.69210004806519,18.0,2.0,3.22000002861023,20.0,2.77099990844727
InChI%3D1S%2FC8H19O3PS2%2Fc1-4-10-12%289%2C11-5-2%2914-8-7-13-6-3%2Fh4-8H2%2C1-3H3,33.0,64.6414031982422,2.0,4.54286575317383,0.0,0.0,14.0,2.1314001083374,4.0,9.0,1.67999994754791,13.0,2.21600008010864
InChI%3D1S%2FC5H13N%2Fc1-4%282%295%283%296%2Fh4-5H%2C6H2%2C1-3H3,19.0,27.7865009307861,4.0,0.0310112107545137,0.0,0.0,6.0,-0.176100000739098,0.0,1.0,1.89999997615814,5.0,0.972000002861023
InChI%3D1S%2FC16H22O4%2Fc1-3-5-11-19-15%2817%2913-9-7-8-10-14%2813%2916%2818%2920-12-6-4-2%2Fh7-10H%2C3-6%2C11-12H2%2C1-2H3,42.0,73.9672012329102,4.0,0.0384944416582584,6.0,6.0,7.0,-0.196199998259544,12.0,10.0,2.77999997138977,20.0,3.64599990844727
InChI%3D1S%2FC9H12%2Fc1-8%282%299-6-4-3-5-7-9%2Fh3-8H%2C1-2H3,21.0,44.0035018920898,3.0,3.17089247703552,6.0,6.0,3.0,1.78069996833801,6.0,1.0,2.45000004768372,9.0,3.44199991226196
InChI%3D1S%2FC6HCl5O%2Fc7-1-2%288%294%2810%296%2812%295%2811%293%281%299%2Fh12H,13.0,56.1422996520996,0.0,7.20278263092041,6.0,6.0,0.0,2.68379998207092,7.0,0.0,1.46000003814697,12.0,3.61999988555908
InChI%3D1S%2FC5H12ClN.ClH%2Fc1-7%282%295-3-4-6%3B%2Fh3-5H2%2C1-2H3%3B1H,21.0,32.2430000305176,3.0,0.486227303743362,0.0,0.0,7.0,0.697300016880035,0.0,3.0,1.67999994754791,6.0,1.69799995422363
InChI%3D1S%2FC10H9NO6%2Fc1-16-9%2812%296-3-4-7%2810%2813%2917-2%298%285-6%2911%2814%2915%2Fh3-5H%2C1-2H3,26.0,26.8626003265381,0.0,0.000585640023928136,6.0,6.0,4.0,-0.0241999998688698,15.0,5.0,1.78999996185303,17.0,1.79900002479553
InChI%3D1S%2FC5H4BrNO%2Fc6-5-4%288%292-1-3-7-5%2Fh1-3%2C8H,12.0,36.4945983886719,0.0,0.698060274124146,6.0,6.0,0.0,0.835500001907349,7.0,0.0,1.67999994754791,8.0,1.0
InChI%3D1S%2FC4H8O%2Fc1-2-3-4-5%2Fh4H%2C2-3H2%2C1H3,13.0,19.6534004211426,4.0,0.155472487211227,0.0,0.0,5.0,-0.394300013780594,1.0,2.0,1.78999996185303,4.0,1.15600001811981
InChI%3D1S%2FC7H4ClNS2%2Fc8-4-1-2-6-5%283-4%299-7%2810%2911-6%2Fh1-3H%2C%28H%2C9%2C10%29,17.0,57.5004005432129,0.0,5.18973970413208,6.0,6.0,0.0,2.27810001373291,7.0,0.0,1.78999996185303,12.0,1.77900004386902
InChI%3D1S%2FC6H3Cl4N%2Fc7-2-1-3%288%295%2810%296%2811%294%282%299%2Fh1H%2C11H2,14.0,53.3703994750977,0.0,2.82744216918945,6.0,6.0,0.0,1.68149995803833,7.0,0.0,1.57000005245209,11.0,2.63199996948242
InChI%3D1S%2FC10H6N2O5.Na.2H2O%2Fc13-10-7-4-2-1-3-6%287%298%2811%2814%2915%295-9%2810%2912%2816%2917%3B%3B%3B%2Fh1-5%2C13H%3B%3B2%2A1H2%2Fq%3B%2B1%3B%3B%2Fp-1,29.0,,0.0,,10.0,11.0,3.0,,17.0,2.0,1.46000003814697,18.0,
InChI%3D1S%2FC10H17N%2Fc11-10-4-7-1-8%285-10%293-9%282-7%296-10%2Fh7-9H%2C1-6%2C11H2,28.0,44.1259002685547,0.0,2.4922935962677,0.0,0.0,0.0,-1.5786999464035,0.0,0.0,2.45000004768372,13.0,2.31200003623962
InChI%3D1S%2FC20H30O2%2Fc1-13%282%2914-6-8-16-15%2812-14%297-9-17-19%2816%2C3%2910-5-11-20%2817%2C4%2918%2821%2922%2Fh7%2C12-13%2C16-17H%2C5-6%2C8-11H2%2C1-4H3%2C%28H%2C21%2C22%29%2Ft16-%2C17%2B%2C19%2B%2C20%2B%2Fm0%2Fs1,52.0,90.3136978149414,3.0,1.89695525169373,0.0,0.0,3.0,1.37730002403259,4.0,2.0,3.44000005722046,24.0,6.11299991607666
InChI%3D1S%2FC15H12O%2Fc1-2-15%2816%2C13-9-5-3-6-10-13%2914-11-7-4-8-12-14%2Fh1%2C3-12%2C16H,28.0,72.1032028198242,3.0,5.93068599700928,12.0,12.0,4.0,2.43530011177063,6.0,2.0,3.0,17.0,2.07500004768372
InChI%3D1S%2FC5H4ClNO%2Fc6-4-2-1-3-5%288%297-4%2Fh1-3H%2C%28H%2C7%2C8%29,12.0,33.2155990600586,0.0,1.54306089878082,6.0,6.0,0.0,1.2422000169754,7.0,0.0,1.67999994754791,8.0,0.824000000953674
InChI%3D1S%2FC12H21N2O3PS%2Fc1-6-15-18%2819%2C16-7-2%2917-11-8-10%285%2913-12%2814-11%299%283%294%2Fh8-9H%2C6-7H2%2C1-5H3,40.0,81.5680999755859,2.0,4.06869220733643,6.0,6.0,9.0,2.0171000957489,11.0,7.0,2.00999999046326,19.0,3.07500004768372
InChI%3D1S%2FC8H10%2Fc1-7-3-5-8%282%296-4-7%2Fh3-6H%2C1-2H3,18.0,39.5197982788086,0.0,5.27253437042236,6.0,6.0,0.0,2.29620003700256,6.0,0.0,2.33999991416931,8.0,2.8659999370575
InChI%3D1S%2FC6H5NO%2Fc8-5-6-2-1-3-7-4-6%2Fh1-5H,13.0,32.4600982666016,0.0,0.448096364736557,6.0,6.0,2.0,-0.669399976730347,8.0,1.0,1.89999997615814,8.0,-0.426999986171722
InChI%3D1S%2FC8H19N%2Fc1-3-4-5-6-7-8%282%299%2Fh8H%2C3-7%2C9H2%2C1-2H3,28.0,33.975399017334,8.0,4.56976127624512,0.0,0.0,9.0,-2.13770008087158,0.0,5.0,2.23000001907349,8.0,2.95099997520447
InChI%3D1S%2FC20H30O2%2Fc1-13%282%2914-6-8-16-15%2812-14%297-9-17-19%2816%2C3%2910-5-11-20%2817%2C4%2918%2821%2922%2Fh12%2C16-17H%2C5-11H2%2C1-4H3%2C%28H%2C21%2C22%29%2Ft16-%2C17%2B%2C19%2B%2C20%2B%2Fm0%2Fs1,52.0,90.2817993164062,3.0,4.61562252044678,0.0,0.0,3.0,2.14840006828308,4.0,1.0,3.44000005722046,24.0,5.77600002288818
InChI%3D1S%2FC10H18O2%2Fc1-2-3-4-5-6-9-7-8-10%2811%2912-9%2Fh9H%2C2-8H2%2C1H3,30.0,37.6071014404297,6.0,3.18051552772522,0.0,0.0,6.0,-1.78340005874634,3.0,5.0,2.33999991416931,12.0,3.31299996376038
InChI%3D1S%2FC12H16%2Fc1-5-10-6-8-11%289-7-10%2912%282%2C3%294%2Fh5-9H%2C1H2%2C2-4H3,28.0,57.7896003723145,2.0,10.731520652771,6.0,6.0,3.0,3.27589988708496,8.0,2.0,2.77999997138977,12.0,4.70900011062622
InChI%3D1S%2FC11H15NO%2Fc1-3-12%284-2%2911-7-5-10%289-13%296-8-11%2Fh5-9H%2C3-4H2%2C1-2H3,28.0,58.2363014221191,2.0,1.65688383579254,6.0,6.0,5.0,1.28719997406006,9.0,4.0,2.45000004768372,13.0,1.80999994277954
InChI%3D1S%2FC7H3Br2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,14.0,52.6082000732422,0.0,2.5115909576416,6.0,6.0,2.0,1.58480000495911,9.0,0.0,1.78999996185303,11.0,1.88199996948242
InChI%3D1S%2FC7H8O2%2Fc1-9-7-4-2-3-6%288%295-7%2Fh2-5%2C8H%2C1H3,17.0,39.2047996520996,0.0,0.116758890450001,6.0,6.0,2.0,0.341699987649918,8.0,1.0,2.00999999046326,9.0,0.975000023841858
InChI%3D1S%2FC10H10N2O2S%2Fc1-9-2-4-10%285-3-9%2915%2813%2C14%2912-7-6-11-8-12%2Fh2-8H%2C1H3,29.0,62.6654014587402,0.0,0.00559504004195333,6.0,6.0,2.0,0.0747999995946884,10.0,2.0,2.00999999046326,16.0,0.861000001430511
InChI%3D1S%2FC18H15OP%2Fc19-20%2816-10-4-1-5-11-16%2C17-12-6-2-7-13-17%2918-14-8-3-9-15-18%2Fh1-15H,35.0,97.8239974975586,0.0,3.65039229393005,18.0,18.0,2.0,1.91059994697571,20.0,3.0,3.22000002861023,22.0,1.97699999809265
InChI%3D1S%2FC5H6ClN3%2Fc1-3-2-4%286%299-5%287%298-3%2Fh2H%2C1H3%2C%28H2%2C7%2C8%2C9%29,19.0,32.6875991821289,0.0,0.00822648964822292,0.0,0.0,0.0,-0.0907000005245209,4.0,0.0,1.57000005245209,9.0,1.33200001716614
InChI%3D1S%2FC10H15NO2%2Fc12-8-6-11%287-9-13%2910-4-2-1-3-5-10%2Fh1-5%2C12-13H%2C6-9H2,28.0,57.1595001220703,2.0,0.00913935992866755,6.0,6.0,7.0,0.095600001513958,7.0,5.0,2.23000001907349,13.0,0.14300000667572
InChI%3D1S%2FC8H12O%2Fc1-2-8%289%296-4-3-5-7-8%2Fh1%2C9H%2C3-7H2,21.0,30.2702007293701,2.0,0.110955610871315,0.0,0.0,2.0,-0.333099991083145,2.0,0.0,2.23000001907349,9.0,1.35000002384186
InChI%3D1S%2FC11H16N2%2Fc1-2-4-11%285-3-1%2910-13-8-6-12-7-9-13%2Fh1-5%2C12H%2C6-10H2,29.0,59.494701385498,0.0,0.737193942070007,6.0,6.0,0.0,0.85860002040863,6.0,2.0,2.45000004768372,14.0,0.559000015258789
InChI%3D1S%2FC6H4N2O5%2Fc9-6-4%287%2810%2911%292-1-3-5%286%298%2812%2913%2Fh1-3%2C9H,17.0,45.1990013122559,0.0,1.05472898483276,6.0,6.0,2.0,1.02699995040894,13.0,2.0,1.35000002384186,13.0,0.903999984264374
InChI%3D1S%2FC7H8ClN%2Fc1-5-2-3-7%289%296%288%294-5%2Fh2-4H%2C9H2%2C1H3,17.0,43.5037994384766,0.0,1.04407525062561,6.0,6.0,0.0,1.02180004119873,7.0,0.0,2.00999999046326,9.0,1.29299998283386
InChI%3D1S%2FC3H4O%2Fc1-2-3-4%2Fh2-3H%2C1H2,8.0,16.3659992218018,3.0,0.166790559887886,0.0,0.0,4.0,0.408399999141693,4.0,1.0,1.67999994754791,3.0,0.293000012636185
InChI%3D1S%2FC6H5NO3%2Fc8-6-3-1-5%282-4-6%297%289%2910%2Fh1-4%2C8H,15.0,5.45039987564087,0.0,0.256947606801987,6.0,6.0,2.0,-0.506900012493134,10.0,1.0,1.67999994754791,10.0,1.72000002861023
InChI%3D1S%2FC15H10O2%2Fc16-13-10-15%2811-6-2-1-3-7-11%2917-14-9-5-4-8-12%2813%2914%2Fh1-10H,29.0,73.7113037109375,0.0,2.35714602470398,12.0,12.0,0.0,1.5353000164032,9.0,1.0,2.89000010490417,19.0,1.87699997425079
InChI%3D1S%2FC10H18O%2Fc1-9%282%298-4-6-10%283%2C11-9%297-5-8%2Fh8H%2C4-7H2%2C1-3H3,29.0,44.032600402832,0.0,1.71845877170563,0.0,0.0,0.0,1.31089997291565,0.0,0.0,2.45000004768372,12.0,2.59500002861023
InChI%3D1S%2FC6H6ClN%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4H%2C8H2,14.0,39.2218017578125,0.0,0.33108514547348,6.0,6.0,0.0,0.575399994850159,7.0,0.0,1.89999997615814,8.0,0.901000022888184
InChI%3D1S%2F2C9H13N.H2O4S%2Fc2%2A1-8%2810%297-9-5-3-2-4-6-9%3B1-5%282%2C3%294%2Fh2%2A2-6%2C8H%2C7%2C10H2%2C1H3%3B%28H2%2C1%2C2%2C3%2C4%29,53.0,49.9654006958008,3.0,4.12496089935303,12.0,12.0,5.0,-2.03099989891052,6.0,4.0,2.67000007629395,24.0,5.40000009536743
InChI%3D1S%2FC7H12O%2Fc1-3-5-6-7%288%294-2%2Fh2%2C7-8H%2C3%2C5-6H2%2C1H3,20.0,28.360200881958,7.0,0.311922252178192,0.0,0.0,8.0,-0.558499991893768,2.0,3.0,2.11999988555908,7.0,1.79100000858307
InChI%3D1S%2FC6H7N%2Fc1-6-4-2-3-5-7-6%2Fh2-5H%2C1H3,14.0,31.8628005981445,0.0,0.117580406367779,6.0,6.0,0.0,-0.342900007963181,6.0,0.0,2.00999999046326,7.0,0.140000000596046
InChI%3D1S%2FC6H10O%2Fc1-3-5-6%287%294-2%2Fh3-4%2C6-7H%2C1-2%2C5H2,17.0,30.7087001800537,6.0,1.34536802768707,0.0,0.0,7.0,1.15989995002747,2.0,3.0,2.00999999046326,6.0,1.20299994945526
InChI%3D1S%2FC10H20O%2Fc1-7%282%299-5-4-8%283%296-10%289%2911%2Fh7-11H%2C4-6H2%2C1-3H3%2Ft8-%2C9%2B%2C10-%2Fm1%2Fs1,31.0,44.9238014221191,3.0,0.430729687213898,0.0,0.0,3.0,0.656300008296967,0.0,1.0,2.45000004768372,11.0,3.21099996566772
InChI%3D1S%2FC13H11NO2%2Fc15-12-9-5-4-8-11%2812%2913%2816%2914-10-6-2-1-3-7-10%2Fh1-9%2C15H%2C%28H%2C14%2C16%29,27.0,70.1010971069336,0.0,2.30948805809021,12.0,12.0,3.0,1.519700050354,16.0,2.0,2.55999994277954,17.0,1.89600002765656
InChI%3D1S%2FC12H9NO%2Fc14-12%2810-4-2-1-3-5-10%2911-6-8-13-9-7-11%2Fh1-9H,23.0,61.2478981018066,0.0,0.218088999390602,12.0,12.0,2.0,0.467000007629395,14.0,2.0,2.55999994277954,15.0,0.776000022888184
InChI%3D1S%2FC7H7NO2%2Fc1-6-3-2-4-7%285-6%298%289%2910%2Fh2-5H%2C1H3,17.0,8.38790035247803,0.0,0.354501157999039,6.0,6.0,2.0,0.595399975776672,9.0,1.0,1.89999997615814,10.0,3.21700000762939
InChI%3D1S%2FC4H5N%2Fc1-2-4-5-3-1%2Fh1-5H,17.0,28.6380996704102,2.0,0.349990546703339,0.0,0.0,7.0,0.591600000858307,3.0,3.0,1.57000005245209,6.0,0.570999979972839
InChI%3D1S%2FC7H5ClN2%2Fc8-6-1-2-7%2810%295%283-6%294-9%2Fh1-3H%2C10H2,15.0,44.2002983093262,0.0,0.171810254454613,6.0,6.0,2.0,0.414499998092651,9.0,0.0,1.89999997615814,10.0,0.541999995708466
InChI%3D1S%2FC6H12O2%2Fc1-5%287%298-6%282%2C3%294%2Fh1-4H3,20.0,31.2166004180908,2.0,0.907065749168396,0.0,0.0,8.0,0.952400028705597,3.0,2.0,1.89999997615814,7.0,1.54100000858307
InChI%3D1S%2FC12H8O%2Fc1-3-7-11-9%285-1%2910-6-2-4-8-12%2810%2913-11%2Fh1-8H,21.0,59.7458992004395,0.0,1.87115037441254,13.0,15.0,0.0,1.36790001392365,13.0,0.0,2.67000007629395,15.0,1.91700005531311
InChI%3D1S%2FC13H20O%2Fc1-10-6-5-9-13%283%2C4%2912%2810%298-7-11%282%2914%2Fh7-8H%2C5-6%2C9H2%2C1-4H3,34.0,60.6614990234375,4.0,2.48629832267761,0.0,0.0,5.0,1.57679998874664,6.0,2.0,2.77999997138977,14.0,3.65000009536743
InChI%3D1S%2FC18H15O4P%2Fc19-23%2820-16-10-4-1-5-11-16%2C21-17-12-6-2-7-13-17%2922-18-14-8-3-9-15-18%2Fh1-15H,38.0,101.859199523926,0.0,7.67899513244629,18.0,18.0,5.0,2.77110004425049,23.0,6.0,2.89000010490417,25.0,3.05100011825562
InChI%3D1S%2FC11H15NO%2Fc1-11%282%2C3%299-6-4-8%285-7-9%2910%2812%2913%2Fh4-7H%2C1-3H3%2C%28H2%2C12%2C13%29,28.0,55.0839004516602,3.0,3.73880887031555,6.0,6.0,4.0,1.93359994888306,9.0,2.0,2.45000004768372,13.0,2.02600002288818
InChI%3D1S%2FC10H22O%2Fc1-2-3-4-5-6-7-8-9-10-11%2Fh11H%2C2-10H2%2C1H3,33.0,36.4682998657227,10.0,7.29756212234497,0.0,0.0,11.0,-2.7014000415802,0.0,8.0,2.45000004768372,10.0,4.2649998664856
InChI%3D1S%2FC9H12O2%2Fc1-7-8%2810-2%295-4-6-9%287%2911-3%2Fh4-6H%2C1-3H3,23.0,48.5247993469238,0.0,0.726926743984222,6.0,6.0,2.0,0.85259997844696,8.0,2.0,2.23000001907349,11.0,1.47699999809265
InChI%3D1S%2FC14H20O3%2Fc1-3-4-5-6-9-17-13-8-7-12%2811-15%2910-14%2813%2916-2%2Fh7-8%2C10-11H%2C3-6%2C9H2%2C1-2H3,37.0,65.877197265625,6.0,1.37639820575714,6.0,6.0,7.0,-1.17320001125336,10.0,8.0,2.67000007629395,17.0,3.39800000190735
InChI%3D1S%2FC2H3Cl3O%2Fc3-2%284%2C5%291-6%2Fh6H%2C1H2,9.0,28.215799331665,2.0,1.53636026382446,0.0,0.0,6.0,1.23950004577637,0.0,1.0,1.24000000953674,5.0,1.33700001239777
InChI%3D1S%2FN3.Na%2Fc1-3-2%3B%2Fq-1%3B%2B1,6.0,,0.0,,0.0,0.0,3.0,,3.0,0.0,1.01999998092651,2.0,-1.67900002002716
InChI%3D1S%2FC7H6N2O5%2Fc1-4-2-5%288%2811%2912%293-6%287%284%2910%299%2813%2914%2Fh2-3%2C10H%2C1H3,20.0,13.8382997512817,0.0,0.0078322496265173,6.0,6.0,2.0,0.0885000005364418,13.0,2.0,1.46000003814697,14.0,2.57699990272522
InChI%3D1S%2FC6H11NO%2Fc8-7-6-4-2-1-3-5-6%2Fh8H%2C1-5H2,19.0,26.7140998840332,0.0,1.03286564350128,0.0,0.0,2.0,-1.01629996299744,3.0,0.0,1.89999997615814,8.0,1.16299998760223
InChI%3D1S%2FC8H19N%2Fc1-2-3-4-5-6-7-8-9%2Fh2-9H2%2C1H3,28.0,32.3026008605957,8.0,5.83222484588623,0.0,0.0,9.0,-2.41499996185303,0.0,6.0,2.23000001907349,8.0,3.05999994277954
InChI%3D1S%2FC7H8%2Fc1-7-5-3-2-4-6-7%2Fh2-6H%2C1H3,15.0,35.2378005981445,0.0,3.42176008224487,6.0,6.0,0.0,1.84979999065399,6.0,0.0,2.23000001907349,7.0,2.47399997711182
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-3-2-4-8%2811%295-7%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,20.0,45.7897987365723,2.0,0.103555239737034,6.0,6.0,4.0,0.321799993515015,10.0,1.0,2.00999999046326,11.0,0.61599999666214
InChI%3D1S%2FC2H3Cl3%2Fc3-1-2%284%295%2Fh2H%2C1H2,8.0,25.7096996307373,2.0,3.8239803314209,0.0,0.0,5.0,1.95550000667572,0.0,1.0,1.35000002384186,4.0,2.15799999237061
InChI%3D1S%2FC9H13N%2Fc1-2-10-8-9-6-4-3-5-7-9%2Fh3-7%2C10H%2C2%2C8H2%2C1H3,23.0,47.7383995056152,2.0,1.32641291618347,6.0,6.0,4.0,1.15170001983643,6.0,3.0,2.33999991416931,10.0,1.33899998664856
InChI%3D1S%2FC10H22O%2Fc1-3-5-7-9-11-10-8-6-4-2%2Fh3-10H2%2C1-2H3,33.0,40.3105010986328,5.0,3.08458971977234,0.0,0.0,11.0,-1.75629997253418,0.0,8.0,2.45000004768372,10.0,3.85800004005432
InChI%3D1S%2FC4H6O%2Fc1-2-3-4-5%2Fh5H%2C4H2%2C1H3,11.0,21.3423004150391,4.0,0.614185690879822,0.0,0.0,5.0,0.783699989318848,2.0,0.0,1.78999996185303,4.0,0.368000000715256
InChI%3D1S%2FC12H11NO2%2Fc1-13-12%2814%2915-11-8-4-6-9-5-2-3-7-10%289%2911%2Fh2-8H%2C1H3%2C%28H%2C13%2C14%29,26.0,63.7247009277344,0.0,3.01439046859741,10.0,11.0,5.0,1.73619997501373,14.0,2.0,2.45000004768372,16.0,2.29200005531311
InChI%3D1S%2FC11H22O%2Fc1-3-4-5-6-7-8-9-10-11%282%2912%2Fh3-10H2%2C1-2H3,34.0,41.5994987487793,11.0,4.76898241043091,0.0,0.0,12.0,-2.18379998207092,1.0,8.0,2.55999994277954,11.0,4.4210000038147
InChI%3D1S%2FC6H5Cl%2Fc7-6-4-2-1-3-5-6%2Fh1-5H,12.0,35.6720008850098,0.0,3.14033842086792,6.0,6.0,0.0,1.77209997177124,6.0,0.0,2.00999999046326,7.0,1.60399997234344
InChI%3D1S%2FC4H6O%2Fc1-3-4%282%295%2Fh1%2C4-5H%2C2H3,11.0,19.6254005432129,4.0,0.0933302491903305,0.0,0.0,5.0,0.305500000715256,2.0,0.0,1.78999996185303,4.0,0.294999986886978
InChI%3D1S%2FC6H5ClO%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4%2C8H,13.0,37.2775001525879,0.0,1.46168100833893,6.0,6.0,0.0,1.20899999141693,7.0,0.0,1.89999997615814,8.0,1.31200003623962
InChI%3D1S%2FC10H11BrO3%2Fc1-13-7-3-4-10%2814-2%298%285-7%299%2812%296-11%2Fh3-5H%2C6H2%2C1-2H3,25.0,61.5298004150391,2.0,0.401702433824539,6.0,6.0,4.0,0.633800029754639,10.0,4.0,2.11999988555908,14.0,1.66600000858307
InChI%3D1S%2FC6H4N2O5%2Fc9-6-2-1-4%287%2810%2911%293-5%286%298%2812%2913%2Fh1-3%2C9H,17.0,40.8736000061035,0.0,1.6741771697998,6.0,6.0,2.0,1.29390001296997,13.0,2.0,1.35000002384186,13.0,1.12300002574921
InChI%3D1S%2FC6H4Cl3N%2Fc7-3-1-2-4%2810%296%289%295%283%298%2Fh1-2H%2C10H2,14.0,48.6542015075684,0.0,1.72344386577606,6.0,6.0,0.0,1.3128000497818,7.0,0.0,1.67999994754791,10.0,2.0550000667572
InChI%3D1S%2FC7H9NO%2Fc1-6%289%297-4-3-5-8%287%292%2Fh3-5H%2C1-2H3,19.0,34.2309989929199,2.0,7.53941774368286,0.0,0.0,3.0,-2.74580001831055,6.0,1.0,2.00999999046326,9.0,0.787999987602234
InChI%3D1S%2FC11H17O4PS2%2Fc1-4-13-16%2817%2C14-5-2%2915-10-6-8-11%289-7-10%2918%283%2912%2Fh6-9H%2C4-5H2%2C1-3H3,35.0,83.4536972045898,2.0,2.54945087432861,6.0,6.0,9.0,1.59669995307922,13.0,7.0,1.89999997615814,18.0,1.81099998950958
InChI%3D1S%2FC5H8N4%2Fc1-3-4%282%298-9-5%286%297-3%2Fh1-2H3%2C%28H2%2C6%2C7%2C9%29,21.0,33.0928993225098,0.0,0.78872162103653,0.0,0.0,0.0,-0.888100028038025,5.0,0.0,1.57000005245209,9.0,1.12999999523163
InChI%3D1S%2FC5H5BrN2%2Fc6-4-1-2-5%287%298-3-4%2Fh1-3H%2C%28H2%2C7%2C8%29,17.0,32.8685989379883,0.0,0.0144480401650071,0.0,0.0,0.0,0.120200000703335,3.0,0.0,1.67999994754791,8.0,1.33299994468689
InChI%3D1S%2FC9H20O%2Fc1-2-3-4-5-6-7-8-9-10%2Fh10H%2C2-9H2%2C1H3,30.0,33.5567016601562,9.0,5.82449960708618,0.0,0.0,10.0,-2.41339993476868,0.0,7.0,2.33999991416931,9.0,3.69600009918213
InChI%3D1S%2FC7H15NO%2Fc1-6%287%282%299%295-8%283%294%2Fh6H%2C5H2%2C1-4H3,24.0,39.128101348877,4.0,0.0730620920658112,0.0,0.0,9.0,0.270300000905991,1.0,3.0,2.00999999046326,8.0,0.160999998450279
InChI%3D1S%2FC10H21N%2Fc1-3-11%284-2%2910-8-6-5-7-9-10%2Fh10H%2C3-9H2%2C1-2H3,32.0,40.8348999023438,2.0,0.595675230026245,0.0,0.0,5.0,-0.771799981594086,0.0,3.0,2.45000004768372,11.0,2.73699998855591
InChI%3D1S%2FC8H8O%2Fc1-2-4-8-7%283-1%295-6-9-8%2Fh1-4H%2C5-6H2,17.0,39.8465003967285,0.0,0.764050781726837,6.0,6.0,0.0,0.874100029468536,7.0,0.0,2.23000001907349,10.0,1.067999958992
InChI%3D1S%2FC5H10O2%2Fc1-3-4-7-5%282%296%2Fh3-4H2%2C1-2H3,17.0,25.2385997772217,3.0,0.0938196927309036,0.0,0.0,7.0,-0.306300014257431,3.0,3.0,1.78999996185303,6.0,1.02199995517731
InChI%3D1S%2FC6H14S2%2Fc1-3-5-7-8-6-4-2%2Fh3-6H2%2C1-2H3,22.0,42.6319999694824,3.0,0.534361004829407,0.0,0.0,8.0,0.731000006198883,0.0,5.0,1.89999997615814,7.0,2.99799990653992
InChI%3D1S%2FC6H3Cl3O%2Fc7-3-1-4%288%296%2810%295%289%292-3%2Fh1-2%2C10H,13.0,46.7098999023438,0.0,3.78847289085388,6.0,6.0,0.0,1.94640004634857,7.0,0.0,1.67999994754791,10.0,2.46600008010864
InChI%3D1S%2FC9H21N%2Fc1-4-7-10%288-5-2%299-6-3%2Fh4-9H2%2C1-3H3,31.0,43.4654998779297,3.0,0.438376396894455,0.0,0.0,10.0,-0.66210001707077,0.0,6.0,2.33999991416931,9.0,2.40599989891052
InChI%3D1S%2FC8H10N4O2%2Fc1-10-4-9-6-5%2810%297%2813%2912%283%298%2814%2911%286%292%2Fh4H%2C1-3H3,28.0,48.9063987731934,0.0,0.758466839790344,0.0,0.0,0.0,-0.870899975299835,6.0,0.0,1.67999994754791,15.0,-1.36300003528595
InChI%3D1S%2FC4H12N.ClH%2Fc1-5%282%2C3%294%3B%2Fh1-4H3%3B1H%2Fq%2B1%3B%2Fp-1,18.0,,0.0,,0.0,0.0,5.0,,0.0,0.0,1.67999994754791,4.0,0.38400000333786
InChI%3D1S%2FC9H13N%2Fc1-10%282%298-9-6-4-3-5-7-9%2Fh3-7H%2C8H2%2C1-2H3,23.0,48.7392997741699,0.0,2.06554388999939,6.0,6.0,4.0,1.4371999502182,6.0,2.0,2.33999991416931,10.0,1.15499997138977
InChI%3D1S%2FC6H9NO%2Fc1-4-5%282%298-6%283%297-4%2Fh1-3H3,21.0,31.9680995941162,0.0,0.00988036021590233,0.0,0.0,0.0,-0.0993999987840652,0.0,0.0,1.89999997615814,8.0,0.940999984741211
InChI%3D1S%2FC12H12N2%2Fc1%2811-3-7-13-8-4-11%292-12-5-9-14-10-6-12%2Fh3-10H%2C1-2H2,26.0,62.0632019042969,2.0,0.687572658061981,12.0,12.0,2.0,-0.829200029373169,6.0,3.0,2.55999994277954,15.0,0.151999995112419
